Solution 1,Solution 2,Cluster 1,Cluster 2,Jaccard Similarity,Wang Similarity
0,1,2,0,0.244,0.1511947181013203
0,1,1,3,0.18877551020408162,0.15190206234692968
0,1,0,1,0.18859649122807018,0.15506891146949484
0,1,3,2,0.04519774011299435,0.12213776939013894
0,2,0,1,0.48026315789473684,0.26108367217670975
0,2,2,3,0.26359832635983266,0.15504920521944818
0,2,1,2,0.23469387755102042,0.16341841118154865
0,2,3,0,0.11594202898550725,0.14318327131247585
0,3,2,2,0.2584745762711864,0.15534851823451004
0,3,1,1,0.2584745762711864,0.15948936203729006
0,3,0,0,0.1774891774891775,0.15651860990328959
0,3,3,3,0.11666666666666667,0.14787836156379847
0,4,0,0,0.6351351351351351,0.26977216948091437
0,4,1,3,0.35,0.17667932526081437
0,4,2,2,0.30677290836653387,0.15317198729870224
0,4,3,1,0.059602649006622516,0.12713299908331005
0,5,0,3,0.673202614379085,0.262132157405696
0,5,1,1,0.30412371134020616,0.14524543409441276
0,5,2,2,0.28761061946902655,0.15544024700768147
0,5,3,0,0.06951871657754011,0.141043143703412
0,6,0,0,0.6258503401360545,0.2733679462002812
0,6,1,1,0.3452914798206278,0.16447702974157866
0,6,2,3,0.34497816593886466,0.1598339466667802
0,6,3,2,0.0625,0.14139846625954322
0,7,0,2,0.5855263157894737,0.25813097549357983
0,7,1,1,0.2694300518134715,0.1600762100019081
0,7,2,3,0.2689075630252101,0.15446472338992595
0,7,3,0,0.11578947368421053,0.14568550603549996
0,8,0,1,0.5228758169934641,0.25683575418795873
0,8,2,0,0.30833333333333335,0.15838497466890628
0,8,1,3,0.22099447513812154,0.16673180639603155
0,8,3,2,0.11004784688995216,0.13932580087001692
0,9,0,3,0.5228758169934641,0.25683575418795873
0,9,2,1,0.30833333333333335,0.15838497466890628
0,9,1,0,0.22099447513812154,0.16673180639603155
0,9,3,2,0.11004784688995216,0.13932580087001692
0,10,0,2,0.48344370860927155,0.2621730591023769
0,10,2,1,0.2625,0.15493946410043122
0,10,1,3,0.23469387755102042,0.16341841118154865
0,10,3,0,0.11594202898550725,0.14318327131247585
0,11,0,3,0.6535947712418301,0.2615709821893899
0,11,2,1,0.4375,0.17177600608577112
0,11,1,0,0.33157894736842103,0.17830566140981047
0,11,3,2,0.1780821917808219,0.14390724261754967
0,12,0,2,0.6493506493506493,0.2553459258517352
0,12,2,0,0.36607142857142855,0.1636327733815332
0,12,1,3,0.32124352331606215,0.17989520439506354
0,12,3,1,0.17088607594936708,0.14513691352845468
0,13,0,3,0.7931034482758621,0.2552717345560082
0,13,1,1,0.6257309941520468,0.18931261915568756
0,13,2,0,0.5531914893617021,0.17548538371707617
0,13,3,2,0.25925925925925924,0.1568310860304193
0,14,2,1,0.26382978723404255,0.15453462426941905
0,14,1,3,0.26046511627906976,0.15902416365500713
0,14,0,0,0.1799163179916318,0.15252503359585398
0,14,3,2,0.056338028169014086,0.12619493906242799
0,15,2,0,0.25390625,0.15130742130656083
0,15,3,3,0.21904761904761905,0.21233366767326756
0,15,1,1,0.21559633027522937,0.15343367967218235
0,15,0,2,0.211864406779661,0.16088333584786588
0,16,0,1,0.6493506493506493,0.2553459258517352
0,16,2,2,0.36160714285714285,0.1636366382534782
0,16,1,0,0.31958762886597936,0.17941432473673655
0,16,3,3,0.17088607594936708,0.14513691352845468
0,17,0,3,0.5855263157894737,0.2613148563144687
0,17,1,1,0.2755102040816326,0.1612844308219404
0,17,2,2,0.26495726495726496,0.15449906593902565
0,17,3,0,0.12105263157894737,0.14621698671587155
0,18,0,2,0.577639751552795,0.2537735558481717
0,18,2,3,0.2669491525423729,0.15398699544683947
0,18,1,1,0.2631578947368421,0.16010287948199683
0,18,3,0,0.11290322580645161,0.14564426686979293
0,19,0,3,0.5855263157894737,0.2613148563144687
0,19,1,2,0.2755102040816326,0.1612844308219404
0,19,2,1,0.26495726495726496,0.15449906593902565
0,19,3,0,0.12105263157894737,0.14621698671587155
0,20,0,1,0.6688311688311688,0.26018492587687503
0,20,2,3,0.49732620320855614,0.18187162558385003
0,20,1,0,0.37628865979381443,0.1769721666776598
0,20,3,2,0.225,0.15345998283358736
0,21,0,2,0.6774193548387096,0.2565210701792418
0,21,2,3,0.4772727272727273,0.1749438800209056
0,21,1,1,0.3559322033898305,0.18921574355984092
0,21,3,0,0.22377622377622378,0.16154506732404245
0,22,2,3,0.2689393939393939,0.15180355107156165
0,22,0,1,0.1991869918699187,0.1584881803833618
