1.00,0.24,0.50,0.40,0.37,0.38,0.38,0.36,0.34,0.42,0.42,0.35,0.37,0.36,0.38,0.39,0.34,0.31,0.33,0.37,0.37,0.34,0.33,0.37,0.27,0.58
0.24,1.00,0.25,0.27,0.47,0.29,0.30,0.29,0.45,0.29,0.31,0.37,0.42,0.44,0.35,0.34,0.45,0.60,0.49,0.42,0.35,0.46,0.42,0.45,0.72,0.29
0.50,0.25,1.00,0.44,0.32,0.46,0.44,0.49,0.31,0.51,0.45,0.33,0.32,0.38,0.41,0.41,0.37,0.30,0.32,0.32,0.42,0.31,0.36,0.37,0.29,0.58
0.40,0.27,0.44,1.00,0.36,0.87,0.59,0.62,0.33,0.53,0.54,0.41,0.41,0.45,0.47,0.54,0.46,0.29,0.33,0.41,0.44,0.37,0.39,0.44,0.29,0.46
0.37,0.47,0.32,0.36,1.00,0.39,0.42,0.40,0.71,0.43,0.49,0.59,0.71,0.62,0.53,0.52,0.64,0.64,0.63,0.72,0.53,0.60,0.55,0.64,0.56,0.40
0.38,0.29,0.46,0.87,0.39,1.00,0.61,0.69,0.34,0.57,0.58,0.44,0.43,0.49,0.49,0.61,0.50,0.31,0.34,0.43,0.46,0.38,0.39,0.48,0.30,0.50
0.38,0.30,0.44,0.59,0.42,0.61,1.00,0.80,0.37,0.75,0.63,0.50,0.43,0.48,0.64,0.56,0.53,0.32,0.36,0.43,0.59,0.38,0.48,0.46,0.34,0.45
0.36,0.29,0.49,0.62,0.40,0.69,0.80,1.00,0.35,0.71,0.59,0.50,0.41,0.47,0.57,0.57,0.52,0.32,0.34,0.41,0.53,0.36,0.43,0.46,0.32,0.49
0.34,0.45,0.31,0.33,0.71,0.34,0.37,0.35,1.00,0.37,0.43,0.54,0.62,0.54,0.44,0.46,0.57,0.58,0.69,0.62,0.45,0.61,0.53,0.54,0.56,0.37
0.42,0.29,0.51,0.53,0.43,0.57,0.75,0.71,0.37,1.00,0.64,0.50,0.41,0.47,0.67,0.55,0.52,0.34,0.35,0.41,0.61,0.37,0.45,0.45,0.34,0.52
0.42,0.31,0.45,0.54,0.49,0.58,0.63,0.59,0.43,0.64,1.00,0.54,0.48,0.52,0.52,0.80,0.54,0.36,0.39,0.48,0.50,0.41,0.43,0.51,0.36,0.46
0.35,0.37,0.33,0.41,0.59,0.44,0.50,0.50,0.54,0.50,0.54,1.00,0.60,0.63,0.58,0.57,0.66,0.46,0.50,0.60,0.53,0.53,0.53,0.63,0.42,0.40
0.37,0.42,0.32,0.41,0.71,0.43,0.43,0.41,0.62,0.41,0.48,0.60,1.00,0.76,0.51,0.52,0.63,0.52,0.61,0.98,0.50,0.79,0.47,0.69,0.46,0.39
0.36,0.44,0.38,0.45,0.62,0.49,0.48,0.47,0.54,0.47,0.52,0.63,0.76,1.00,0.57,0.58,0.78,0.52,0.59,0.77,0.57,0.73,0.53,0.85,0.46,0.46
0.38,0.35,0.41,0.47,0.53,0.49,0.64,0.57,0.44,0.67,0.52,0.58,0.51,0.57,1.00,0.51,0.60,0.43,0.43,0.51,0.90,0.46,0.57,0.55,0.40,0.48
0.39,0.34,0.41,0.54,0.52,0.61,0.56,0.57,0.46,0.55,0.80,0.57,0.52,0.58,0.51,1.00,0.61,0.39,0.42,0.52,0.49,0.45,0.44,0.57,0.38,0.45
0.34,0.45,0.37,0.46,0.64,0.50,0.53,0.52,0.57,0.52,0.54,0.66,0.63,0.78,0.60,0.61,1.00,0.54,0.55,0.63,0.57,0.59,0.56,0.75,0.50,0.45
0.31,0.60,0.30,0.29,0.64,0.31,0.32,0.32,0.58,0.34,0.36,0.46,0.52,0.52,0.43,0.39,0.54,1.00,0.62,0.52,0.45,0.57,0.45,0.55,0.83,0.35
0.33,0.49,0.32,0.33,0.63,0.34,0.36,0.34,0.69,0.35,0.39,0.50,0.61,0.59,0.43,0.42,0.55,0.62,1.00,0.62,0.46,0.66,0.50,0.59,0.58,0.37
0.37,0.42,0.32,0.41,0.72,0.43,0.43,0.41,0.62,0.41,0.48,0.60,0.98,0.77,0.51,0.52,0.63,0.52,0.62,1.00,0.51,0.80,0.48,0.70,0.47,0.39
0.37,0.35,0.42,0.44,0.53,0.46,0.59,0.53,0.45,0.61,0.50,0.53,0.50,0.57,0.90,0.49,0.57,0.45,0.46,0.51,1.00,0.47,0.58,0.55,0.41,0.46
0.34,0.46,0.31,0.37,0.60,0.38,0.38,0.36,0.61,0.37,0.41,0.53,0.79,0.73,0.46,0.45,0.59,0.57,0.66,0.80,0.47,1.00,0.45,0.64,0.51,0.37
0.33,0.42,0.36,0.39,0.55,0.39,0.48,0.43,0.53,0.45,0.43,0.53,0.47,0.53,0.57,0.44,0.56,0.45,0.50,0.48,0.58,0.45,1.00,0.55,0.47,0.38
0.37,0.45,0.37,0.44,0.64,0.48,0.46,0.46,0.54,0.45,0.51,0.63,0.69,0.85,0.55,0.57,0.75,0.55,0.59,0.70,0.55,0.64,0.55,1.00,0.48,0.46
0.27,0.72,0.29,0.29,0.56,0.30,0.34,0.32,0.56,0.34,0.36,0.42,0.46,0.46,0.40,0.38,0.50,0.83,0.58,0.47,0.41,0.51,0.47,0.48,1.00,0.31
0.58,0.29,0.58,0.46,0.40,0.50,0.45,0.49,0.37,0.52,0.46,0.40,0.39,0.46,0.48,0.45,0.45,0.35,0.37,0.39,0.46,0.37,0.38,0.46,0.31,1.00
