Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
0,1,3,0,0.7831733483907397,rand
0,1,1,3,0.7509157509157509,rand
0,1,0,2,0.6872276060093319,rand
0,1,2,1,0.6519680378810299,rand
0,2,0,1,0.9163471592889508,rand
0,2,3,3,0.7954002764861129,rand
0,2,1,2,0.7697540554683412,rand
0,2,2,0,0.6712721690300165,rand
0,3,2,2,0.7531914893617021,rand
0,3,1,3,0.7292119186856029,rand
0,3,0,1,0.6815358554488989,rand
0,3,3,0,0.6204620462046204,rand
0,4,0,0,0.9565177422320279,rand
0,4,2,2,0.8204621513944224,rand
0,4,1,3,0.8098492462311557,rand
0,4,3,1,0.559205298013245,rand
0,5,0,3,0.9532163742690059,rand
0,5,1,1,0.8031088082901554,rand
0,5,2,2,0.7706981317600786,rand
0,5,3,0,0.5744925536196883,rand
0,6,0,0,0.9580654179480012,rand
0,6,2,3,0.8288132996246074,rand
0,6,1,1,0.7861673332525351,rand
0,6,3,2,0.5681818181818182,rand
0,7,0,2,0.9372603694667131,rand
0,7,1,1,0.792314335060449,rand
0,7,3,3,0.7850267379679144,rand
0,7,2,0,0.6514012303485988,rand
0,8,0,1,0.9215686274509803,rand
0,8,1,3,0.8219766728054021,rand
0,8,2,0,0.8075313807531381,rand
0,8,3,2,0.6407802723592197,rand
0,9,0,3,0.9215686274509803,rand
0,9,1,0,0.8219766728054021,rand
0,9,2,1,0.8075313807531381,rand
0,9,3,2,0.6407802723592197,rand
0,10,0,2,0.9208830022075055,rand
0,10,3,1,0.7957243669572437,rand
0,10,1,3,0.7697540554683412,rand
0,10,2,0,0.6712721690300165,rand
0,11,0,3,0.9490884072927417,rand
0,11,2,1,0.9083920563741191,rand
0,11,1,0,0.8238930659983291,rand
0,11,3,2,0.6599905526688711,rand
0,12,0,2,0.9466089466089466,rand
0,12,2,0,0.8417680973734786,rand
0,12,1,3,0.8122841105354058,rand
0,12,3,1,0.6565347093445134,rand
0,13,0,3,0.9831417624521073,rand
0,13,1,1,0.9494324045407637,rand
0,13,2,0,0.9381044487427466,rand
0,13,3,2,0.7240464344941957,rand
0,14,2,1,0.7574104382615021,rand
0,14,1,3,0.7435340143447077,rand
0,14,0,2,0.7204597701149426,rand
0,14,3,0,0.6407802723592197,rand
0,15,3,3,0.789010989010989,rand
0,15,2,0,0.7708333333333334,rand
0,15,1,1,0.7142857142857143,rand
0,15,0,2,0.6893977641543455,rand
0,16,0,1,0.9466089466089466,rand
0,16,2,2,0.8376040999359385,rand
0,16,1,0,0.8091982265904599,rand
0,16,3,3,0.6565347093445134,rand
