Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
0,1,3,2,0.8264051186915294,adjusted_rand
0,1,2,3,0.7960477263931677,adjusted_rand
0,1,0,0,0.5199933088872837,adjusted_rand
0,1,1,1,0.5115211343262405,adjusted_rand
0,2,2,1,0.9806692586017747,adjusted_rand
0,2,0,2,0.7481830768419117,adjusted_rand
0,2,3,0,0.5867381226782278,adjusted_rand
0,2,1,3,0.46726789526562595,adjusted_rand
0,3,2,3,0.7993841625572231,adjusted_rand
0,3,3,1,0.7361422573978718,adjusted_rand
0,3,0,2,0.5355151309748533,adjusted_rand
0,3,1,0,0.4493049132184877,adjusted_rand
0,4,3,0,0.9790573266917927,adjusted_rand
0,4,0,3,0.8721223702362566,adjusted_rand
0,4,1,1,0.5584338632459604,adjusted_rand
0,4,2,2,0.14670413088314468,adjusted_rand
0,5,2,1,0.9814806530081336,adjusted_rand
0,5,3,3,0.9609624118272296,adjusted_rand
0,5,0,0,0.8556022453761697,adjusted_rand
0,5,1,2,0.45022438823599076,adjusted_rand
0,6,1,0,0.9688209660590438,adjusted_rand
0,6,0,1,0.7863545675559701,adjusted_rand
0,6,3,2,0.763986013986014,adjusted_rand
0,6,2,3,0.09293102170680723,adjusted_rand
0,7,1,2,0.9536085752855047,adjusted_rand
0,7,0,1,0.8045640214917406,adjusted_rand
0,7,3,0,0.5882322281656918,adjusted_rand
0,7,2,3,0.2112039939038284,adjusted_rand
0,8,2,3,0.9562064930686394,adjusted_rand
0,8,3,1,0.9340778831016915,adjusted_rand
0,8,0,0,0.7225436918273689,adjusted_rand
0,8,1,2,0.312727006763919,adjusted_rand
0,9,2,0,0.9562064930686394,adjusted_rand
0,9,3,3,0.9340778831016915,adjusted_rand
0,9,0,1,0.7225436918273689,adjusted_rand
0,9,1,2,0.312727006763919,adjusted_rand
0,10,2,2,0.9805740594699034,adjusted_rand
0,10,0,3,0.7481830768419117,adjusted_rand
0,10,3,0,0.5867381226782278,adjusted_rand
0,10,1,1,0.45789705006286846,adjusted_rand
0,11,3,3,0.9603881739105634,adjusted_rand
0,11,2,2,0.8628101419804339,adjusted_rand
0,11,0,0,0.8456169493207307,adjusted_rand
0,11,1,1,0.5376567256347852,adjusted_rand
0,12,3,2,0.9605816349563483,adjusted_rand
0,12,0,3,0.8808894671044999,adjusted_rand
0,12,2,1,0.724947677061324,adjusted_rand
0,12,1,0,0.49493835372841877,adjusted_rand
0,13,0,1,1.0,adjusted_rand
0,13,1,3,1.0,adjusted_rand
0,13,2,2,0.8614222540714512,adjusted_rand
0,13,3,0,0.420625940175105,adjusted_rand
0,14,2,3,0.8123803370453654,adjusted_rand
0,14,3,2,0.7857818511154211,adjusted_rand
0,14,0,1,0.5596775322951836,adjusted_rand
0,14,1,0,0.442024349184436,adjusted_rand
0,15,2,3,0.9734855754860349,adjusted_rand
0,15,3,1,0.8770221593284662,adjusted_rand
0,15,0,0,0.48913250690420146,adjusted_rand
0,15,1,2,0.41306356527340293,adjusted_rand
0,16,3,1,0.9605816349563483,adjusted_rand
0,16,0,0,0.881401675222378,adjusted_rand
0,16,2,3,0.724947677061324,adjusted_rand
0,16,1,2,0.49351723681525644,adjusted_rand
0,17,1,3,0.9381496881496881,adjusted_rand
0,17,0,0,0.7717834977641298,adjusted_rand
0,17,2,1,0.7383044095693857,adjusted_rand
0,17,3,2,0.2940371508232574,adjusted_rand
0,18,3,2,0.9015001108241466,adjusted_rand
0,18,0,1,0.8361141761149707,adjusted_rand
0,18,1,3,0.4627195279054068,adjusted_rand
0,18,2,0,0.46114557485525226,adjusted_rand
0,19,1,3,0.9381496881496881,adjusted_rand
0,19,0,0,0.7717834977641298,adjusted_rand
0,19,2,2,0.7383044095693857,adjusted_rand
0,19,3,1,0.2940371508232574,adjusted_rand
0,20,3,1,0.9611497761782732,adjusted_rand
0,20,0,2,0.8532437906360332,adjusted_rand
0,20,2,0,0.8437094316193486,adjusted_rand
0,20,1,3,0.72213279275634,adjusted_rand
0,21,3,2,0.9425551975329245,adjusted_rand
0,21,2,0,0.9420157947798813,adjusted_rand
0,21,0,1,0.8906438028834784,adjusted_rand
