source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0006950,response to stress,2.309156632154397e-16,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3733,87,52,21925,0.5977011494252874,0.013929815162068041,query_1,['GO:0050896'],9.345981880345743
GO:BP,GO:0050896,response to stimulus,1.7851489584614246e-15,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",6001,87,63,21925,0.7241379310344828,0.010498250291618064,query_1,['GO:0008150'],10.679821942134375
GO:BP,GO:0009611,response to wounding,5.2763575432901104e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]",243,87,17,21925,0.19540229885057472,0.06995884773662552,query_1,['GO:0006950'],2.5944864173502737
GO:BP,GO:0044281,small molecule metabolic process,2.2510172903960763e-12,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1595,87,32,21925,0.367816091954023,0.02006269592476489,query_1,['GO:0008152'],4.284182498981756
GO:BP,GO:0019752,carboxylic acid metabolic process,1.4823864031316953e-11,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",955,87,25,21925,0.28735632183908044,0.02617801047120419,query_1,['GO:0043436'],3.111792694581318
GO:BP,GO:0042221,response to chemical,1.6843053555558635e-11,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2940,87,41,21925,0.47126436781609193,0.013945578231292517,query_1,['GO:0050896'],5.07720397686966
GO:BP,GO:0043436,oxoacid metabolic process,2.1174025306868174e-11,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",1067,87,26,21925,0.2988505747126437,0.02436738519212746,query_1,['GO:0006082'],3.1899897801959134
GO:BP,GO:0006082,organic acid metabolic process,2.1641633741113486e-11,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",1068,87,26,21925,0.2988505747126437,0.024344569288389514,query_1,['GO:0044281'],3.1871546998387905
GO:BP,GO:0016053,organic acid biosynthetic process,2.7460105172039994e-11,True,"""The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",556,87,20,21925,0.22988505747126436,0.03597122302158273,query_1,"['GO:0006082', 'GO:0044283']",2.427884552586388
GO:BP,GO:0046394,carboxylic acid biosynthetic process,2.7460105172039994e-11,True,"""The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",556,87,20,21925,0.22988505747126436,0.03597122302158273,query_1,"['GO:0016053', 'GO:0019752']",2.427884552586388
GO:BP,GO:0032787,monocarboxylic acid metabolic process,3.291549458506738e-11,True,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",489,87,19,21925,0.21839080459770116,0.03885480572597137,query_1,['GO:0019752'],2.2893033641638687
