source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:CC,GO:0005737,cytoplasm,1.5723938508769106e-16,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12601,185,161,22155,0.8702702702702703,0.012776763748908817,query_1,"['GO:0005622', 'GO:0110165']",13.75326283665202
GO:BP,GO:0019538,protein metabolic process,1.4563984264925887e-09,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4467,180,81,20972,0.45,0.018132975151108125,query_1,"['GO:0043170', 'GO:0044238']",3.976523909529272
GO:CC,GO:0031090,organelle membrane,3.059314015702529e-08,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",3868,185,69,22155,0.372972972972973,0.017838676318510858,query_1,"['GO:0016020', 'GO:0043227']",2.8026591357386166
GO:MF,GO:0005515,protein binding,5.487050250962741e-07,True,"""Binding to a protein."" [GOC:go_curators]",15082,181,167,20208,0.9226519337016574,0.011072802015647792,query_1,['GO:0005488'],5.776411035541195
GO:BP,GO:0015031,protein transport,1.7710179038256082e-06,True,"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1422,180,37,20972,0.20555555555555555,0.026019690576652602,query_1,"['GO:0006810', 'GO:0008104', 'GO:0045184']",1.1823097266065734
GO:CC,GO:0012505,endomembrane system,2.5325210440675195e-06,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",4949,185,76,22155,0.41081081081081083,0.015356637704586786,query_1,['GO:0110165'],2.299080903917789
GO:BP,GO:0008104,intracellular protein localization,7.647795234628183e-06,True,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",2401,180,49,20972,0.2722222222222222,0.02040816326530612,query_1,['GO:0033036'],1.3928151315536077
GO:BP,GO:0045184,establishment of protein localization,8.55128317468321e-06,True,"""The directed movement of a protein to a specific location."" [GOC:bf]",1869,180,42,20972,0.23333333333333334,0.02247191011235955,query_1,['GO:0051234'],1.182526032734595
GO:CC,GO:0005622,intracellular anatomical structure,8.617727775166026e-06,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",18007,185,176,22155,0.9513513513513514,0.009773976786805132,query_1,['GO:0110165'],4.818220931307045
GO:CC,GO:0005829,cytosol,1.0236202626578524e-05,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5607,185,81,22155,0.43783783783783786,0.014446227929373997,query_1,"['GO:0005737', 'GO:0110165']",2.1847500064314795
GO:BP,GO:0033036,macromolecule localization,1.794303193306145e-05,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",2876,180,54,20972,0.3,0.018776077885952713,query_1,['GO:0051179'],1.423831250987203
GO:CC,GO:0031984,organelle subcompartment,7.918232018848634e-05,True,"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",1567,185,34,22155,0.1837837837837838,0.02169751116783663,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']",0.7537656238379852
GO:CC,GO:0005783,endoplasmic reticulum,0.00022131752192974463,True,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",2119,185,40,22155,0.21621621621621623,0.018876828692779613,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']",0.7902668543097796
GO:BP,GO:0051649,establishment of localization in cell,0.00022231847882005397,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",1938,180,40,20972,0.2222222222222222,0.02063983488132095,query_1,"['GO:0051234', 'GO:0051641']",0.8117832084030251
GO:BP,GO:0051641,cellular localization,0.00022344838566457545,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",2584,180,48,20972,0.26666666666666666,0.018575851393188854,query_1,"['GO:0009987', 'GO:0051179']",0.9735527409642829
GO:CC,GO:0098588,bounding membrane of organelle,0.0004751645610163736,True,"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",2268,185,41,22155,0.22162162162162163,0.018077601410934743,query_1,['GO:0031090'],0.7364832122266429
