source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,4.080231290104065e-33,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3954,111,82,20972,0.7387387387387387,0.020738492665655032,query_1,"['GO:0006139', 'GO:0080090']",23.92724187275393
GO:BP,GO:0051252,regulation of RNA metabolic process,1.9841195713006155e-32,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3654,111,79,20972,0.7117117117117117,0.02162014230979748,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']",22.562992257306835
GO:BP,GO:0006355,regulation of DNA-templated transcription,1.3086779588345397e-31,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3385,111,76,20972,0.6846846846846847,0.022451994091580503,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']",21.14523160464677
GO:BP,GO:0009889,regulation of biosynthetic process,1.42247447212337e-31,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",5821,111,93,20972,0.8378378378378378,0.015976636316784056,query_1,"['GO:0009058', 'GO:0019222']",25.844746515715702
GO:BP,GO:2001141,regulation of RNA biosynthetic process,1.677781539474631e-31,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3397,111,76,20972,0.6846846846846847,0.022372681778039447,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']",21.071352330815703
GO:BP,GO:0006351,DNA-templated transcription,1.9264920925982213e-31,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3523,111,77,20972,0.6936936936936937,0.021856372409877946,query_1,"['GO:0010467', 'GO:0032774']",21.30696327235217
GO:BP,GO:0080090,regulation of primary metabolic process,4.098181357092726e-30,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5215,111,88,20972,0.7927927927927928,0.016874400767018218,query_1,"['GO:0019222', 'GO:0044238']",23.298125916620975
GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,2.0969890036797063e-29,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",5647,111,90,20972,0.8108108108108109,0.015937666017354347,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']",23.252759875872066
GO:BP,GO:0010468,regulation of gene expression,6.220797091467839e-28,True,"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",5549,111,88,20972,0.7927927927927928,0.015858713281672373,query_1,"['GO:0010467', 'GO:0010556']",21.568842782384486
GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,8.245976426937439e-27,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2688,111,65,20972,0.5855855855855856,0.02418154761904762,query_1,"['GO:0006355', 'GO:0006366']",15.274272650624107
