ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019882,antigen processing and presentation,11/273,118/18986,0.09322033898305085,6.483081889861551,7.216352138542769,1.0915684135586468e-06,0.0034242501133334748,0.003134524875987356,KDM5D/HLA-DOA/HLA-B/ERAP2/CTSS/HLA-F/FGL2/LGMN/NOD1/PDIA3/WAS,11
GO:0007015,actin filament organization,20/273,465/18986,0.043010752688172046,2.9912166686360235,5.250826823827481,1.4224389047661106e-05,0.022310954221256445,0.02042322806422079,RICTOR/PRKCI/ROCK1/SPTBN1/ABI2/ARHGAP17/RAPGEF3/NEDD9/TMSB10/ENAH/CORO1C/PAWR/PRKCE/CFL1/CFL2/SHROOM3/ELMO2/PAK1/WAS/ACTG1,20
GO:0007264,small GTPase-mediated signal transduction,20/273,491/18986,0.04073319755600815,2.8328223032907354,4.969913783158259,3.091738263150112e-05,0.032329276438339674,0.029593901690784227,ROCK1/RIT1/RRAGC/ABI2/RAPGEF6/ARHGAP17/SIAH2/ARHGAP5/RAPGEF3/BRAP/KRIT1/RAB39B/ARHGEF11/CFL1/HACE1/SIPA1L2/MAPKAP1/RAP2C/DOCK5/WAS,20
GO:1903076,regulation of protein localization to plasma membrane,9/273,117/18986,0.07692307692307693,5.349675965060581,5.700202823210916,4.9130141212343724e-05,0.033504931661208694,0.030670084919140753,PRKCI/TMBIM1/ATP2C1/SPTBN1/ACTB/PDPK1/PRKCH/BCL2L1/PRKCE,9
GO:0045088,regulation of innate immune response,19/273,470/18986,0.04042553191489362,2.8114254539786456,4.802979405946799,5.4114537342861007e-05,0.033504931661208694,0.030670084919140753,LGR4/HLA-B/MAVS/TIFA/CEP63/CTSS/LAMP1/HLA-F/APPL2/PDPK1/DDX60/NOD1/YTHDF2/PRKCE/TBK1/WDFY1/ZCCHC3/SMPDL3B/PAK1,19
GO:0048002,antigen processing and presentation of peptide antigen,7/273,72/18986,0.09722222222222222,6.761396011396012,5.915850616913716,7.809329131101536e-05,0.033504931661208694,0.030670084919140753,HLA-DOA/HLA-B/ERAP2/CTSS/HLA-F/LGMN/PDIA3,7
GO:0010631,epithelial cell migration,8/273,97/18986,0.08247422680412371,5.735735055322684,5.647857059613447,7.89342858427696e-05,0.033504931661208694,0.030670084919140753,ROCK1/ARHGAP5/CORO1C/PRKCE/FERMT1/RAB25/IRS2/DOCK5,8
GO:0090132,epithelium migration,8/273,100/18986,0.08,5.563663003663004,5.526605818779369,9.79420070183351e-05,0.033504931661208694,0.030670084919140753,ROCK1/ARHGAP5/CORO1C/PRKCE/FERMT1/RAB25/IRS2/DOCK5,8
GO:0072659,protein localization to plasma membrane,14/273,295/18986,0.04745762711864407,3.3004780530204263,4.809808096528439,0.00010074283413259463,0.033504931661208694,0.030670084919140753,PTCH1/PRKCI/ROCK1/TMBIM1/ATP2C1/SPTBN1/ASAP1/ACTB/PDPK1/RAPGEF6/PRKCH/ZFYVE27/BCL2L1/PRKCE,14
GO:0002758,innate immune response-activating signaling pathway,14/273,297/18986,0.04713804713804714,3.2782526115859447,4.779714814851051,0.00010818444509056208,0.033504931661208694,0.030670084919140753,LGR4/MAVS/TIFA/CTSS/APPL2/PDPK1/DDX60/NOD1/PRKCE/TBK1/WDFY1/ZCCHC3/SMPDL3B/PAK1,14
