source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0006950,response to stress,8.560761747752946e-18,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3733,88,54,21935,0.6136363636363636,0.014465577283686044,query_1,['GO:0050896'],10.47323102083792
GO:BP,GO:0050896,response to stimulus,1.200723672015124e-17,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",6002,88,66,21935,0.75,0.010996334555148283,query_1,['GO:0008150'],12.690417695442987
GO:BP,GO:0009611,response to wounding,6.688562163904531e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]",243,88,17,21935,0.19318181818181818,0.06995884773662552,query_1,['GO:0006950'],2.5451061698600177
GO:BP,GO:0009605,response to external stimulus,2.742044009728847e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",1683,88,34,21935,0.38636363636363635,0.020202020202020204,query_1,['GO:0050896'],4.85347124646134
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,4.082927999514083e-13,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1480,88,32,21935,0.36363636363636365,0.021621621621621623,query_1,['GO:0008150'],4.505101192212842
GO:BP,GO:0044281,small molecule metabolic process,4.99112836801508e-13,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1602,88,33,21935,0.375,0.020599250936329586,query_1,['GO:0008152'],4.613175472600268
GO:BP,GO:0019752,carboxylic acid metabolic process,2.190012461199531e-12,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",955,88,26,21935,0.29545454545454547,0.027225130890052355,query_1,['GO:0043436'],3.444868054139783
GO:BP,GO:0051707,response to other organism,2.2386687796794725e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1460,88,31,21935,0.3522727272727273,0.021232876712328767,query_1,"['GO:0043207', 'GO:0044419']",4.103980850879667
GO:BP,GO:0043207,response to external biotic stimulus,2.2386687796794725e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1460,88,31,21935,0.3522727272727273,0.021232876712328767,query_1,"['GO:0009605', 'GO:0009607']",4.103980850879667
GO:BP,GO:0032787,monocarboxylic acid metabolic process,3.2033126148469577e-12,True,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",489,88,20,21935,0.22727272727272727,0.0408997955010225,query_1,['GO:0019752'],2.6123637899967234
GO:BP,GO:0043436,oxoacid metabolic process,3.3702386573350116e-12,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",1067,88,27,21935,0.3068181818181818,0.02530459231490159,query_1,['GO:0006082'],3.5199222988082854
GO:BP,GO:0006082,organic acid metabolic process,3.4479636335898682e-12,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",1068,88,27,21935,0.3068181818181818,0.025280898876404494,query_1,['GO:0044281'],3.5168841787765865
GO:BP,GO:0009607,response to biotic stimulus,3.696263067361645e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1487,88,31,21935,0.3522727272727273,0.020847343644922665,query_1,['GO:0050896'],4.027265351594229
GO:BP,GO:0042221,response to chemical,4.774924944061561e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2940,88,42,21935,0.4772727272727273,0.014285714285714285,query_1,['GO:0050896'],5.403220510514057
GO:BP,GO:1901700,response to oxygen-containing compound,1.0172806749377642e-11,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1659,88,32,21935,0.36363636363636365,0.019288728149487643,query_1,['GO:0042221'],3.9972942565901004
