Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
0,1,2,2,1.2613370440144145
0,1,3,1,1.238963335696342
0,1,1,0,0.9604848323569722
0,1,0,3,0.6926867825331161
0,2,0,0,1.2489960555438233
0,2,2,2,1.2373345530272066
0,2,3,3,1.0854097865205024
0,2,1,1,0.8496316426630066
0,3,3,1,1.2834804498863932
0,3,2,0,1.0809517850580324
0,3,1,2,1.0463407587292195
0,3,0,3,0.7609082928142821
0,4,3,3,1.2321097518015112
0,4,0,2,1.2245974194613114
0,4,1,1,1.1075648968848053
0,4,2,0,0.8411926734234746
0,5,0,2,1.2731025922506
0,5,3,1,1.146883349116665
0,5,1,0,0.8856294141986104
0,5,2,3,0.8318500351158633
0,6,0,0,1.290016730733701
0,6,3,3,1.1760859025344585
0,6,2,1,1.0192825324599153
0,6,1,2,0.8179819341792035
0,7,2,1,1.2319623201358894
0,7,0,3,1.229763684267938
0,7,3,0,1.204468930329205
0,7,1,2,0.9087172588010897
0,8,3,3,1.3731151453050856
0,8,0,2,1.2374142519341051
0,8,1,0,0.9018579474702564
0,8,2,1,0.8701502926283459
0,9,3,0,1.3725265693358526
0,9,0,2,1.235058551878394
0,9,1,1,0.9035660208723959
0,9,2,3,0.8698866357877297
0,10,0,0,1.2489960555438233
0,10,2,3,1.239966970777969
0,10,3,1,1.0853083933518275
0,10,1,2,0.8516843361968692
0,11,0,1,1.2064250385341786
0,11,3,2,1.1084256377267818
0,11,1,0,0.9262574561739843
0,11,2,3,0.7999360945425532
0,12,2,2,1.2926344420250113
0,12,0,0,1.2383748073879417
0,12,3,1,1.1363949027345972
0,12,1,3,0.9291029816441466
0,13,3,0,1.194291215622536
0,13,1,3,1.0
0,13,0,1,1.0
0,13,2,2,0.7111044432436048
0,14,2,2,1.2943330149324428
0,14,3,0,1.2184295880893314
0,14,1,1,1.0760989924525115
0,14,0,3,0.9725025315828114
0,15,3,3,1.296212398544665
0,15,2,1,1.2002049475031304
0,15,0,2,0.9356389822640732
0,15,1,0,0.9315564118957733
0,16,2,1,1.2926344420250113
0,16,0,2,1.2386172636334973
0,16,3,3,1.1396692365211758
0,16,1,0,0.9292161571249787
0,17,2,1,1.2330020550421414
0,17,3,0,1.1786611078378435
0,17,1,3,0.9295719708992048
0,17,0,2,0.7463352562889546
0,18,2,1,1.2614153761580422
0,18,3,0,1.2032890312998517
0,18,0,2,1.200748866404282
0,18,1,3,0.9262467413645181
0,19,2,2,1.2355570327572418
0,19,3,0,1.1786611078378435
0,19,1,3,0.9295719708992048
0,19,0,1,0.7464663857573863
0,20,3,3,1.3697572560263518
0,20,1,2,1.153485824221524
0,20,0,1,1.002094240167285
0,20,2,0,0.8855142217409633
0,21,0,3,1.2039343929659947
0,21,3,0,1.0742433280136283
0,21,2,1,0.9226441367506196
0,21,1,2,0.8560601986318893
0,22,1,0,1.2564158206234435
0,22,2,3,1.251974579103744
0,22,3,1,1.242601051689162
0,22,0,2,0.7630478154055957
0,23,2,3,1.2616490790367723
0,23,3,0,1.235610346616858
0,23,1,1,0.9621537958537935
0,23,0,2,0.6905275190663936
0,24,1,0,1.2534635815694442
0,24,0,3,1.2070166739399673
0,24,3,2,0.9302970783356059
0,24,2,1,0.9213675835414488
0,25,3,2,1.2392656259836374
0,25,0,3,1.0616218806188769
0,25,1,1,0.8793037309132399
0,25,2,0,0.6789973848170332
0,26,1,2,1.2674629569714975
0,26,0,3,1.2338987715154182
0,26,3,0,1.100304344588819
0,26,2,1,0.8912749325765542
0,27,0,0,1.3224802895252443
0,27,3,2,1.2779011704497942
0,27,1,1,1.0401532294330396
0,27,2,3,0.8372951898939814
0,28,1,0,1.1976534126209926
0,28,3,2,1.0796105717406728
0,28,0,1,0.97120963388295
