Gene,Frequency
ER,140
UBQ4,140
GPX1,139
AT5G06940,136
MYB68,136
TGG2,135
PR1,132
AT4G16610,129
ACS2,128
PR4,128
TBL9,127
AT2G35790,123
uL18-L4,123
AO1,122
ADA1A,119
FAD2,119
LOX1,119
ARAB-1,116
PLL16,116
TGG1,116
ABCC2,115
AIG1,113
AT-P4H-1,112
AIM1,108
CYP71B6,107
PLC8,107
PETE1,103
PDF1.2,102
ICK1,100
ATR2,99
PLDALPHA1,97
SEH,97
UGT88A1,97
TBL15,96
EXO70A3,95
GSTU19,95
HCHIB,95
NIA2,95
RNS1,95
MPPalpha,94
PRK,94
cPGK2,92
AAS,91
HPL1,91
GPX2,89
ATRABE1B,88
ACX2,87
CCR1,87
PKT3,87
PME1,87
GRF7,83
NDR1,83
MPK3,82
WIN2,82
URE,81
CAD9,79
GER2,78
OXR2,78
PLDBETA1,78
LAZ5,77
VEP1,77
RNS2,73
LHB1B2,72
APX1,71
AT3G15350,71
GS2,71
MFP2,71
RBCS1B,64
WRKY11,64
ECS1,63
ROF1,63
NDPK1,62
FAH1,61
FSD1,61
NIT2,57
PR5,55
MEKK1,53
TCH2,53
TCH3,53
EF1alpha,46
CCOAMT,44
GSTF6,44
LecRK-V.5,44
FPS1,43
PER64,43
TCH4,43
TUB9,43
TT4,41
DHS1,39
ELI3-1,39
CAM2,37
PLC1,34
EP3,29
BGL2,28
AIG2,26
HMG1,24
CM1,22
ERD5,22
CHIA,21
ATOZI1,19
ERF4,16
HIS4,16
Rem1.3,16
THI2.1,16
TUA4,16
HOG1,11
HSC70-1,6
SAM-2,6
4CL1,3
ACT2,3
ACX1,3
ADAP,3
AOS,3
ASA1,3
ASB1,3
CSD1,3
CYP83B1,3
EFE,3
EIF4A1,3
FAD7,3
GSTU5,3
IAR3,3
LEA14,3
LOX2,3
LTI30,3
NPR1,3
OMT1,3
OPR1,3
PAL1,3
PAL2,3
PSBO1,3
TSA1,3
TSB1,3
