source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0006950,response to stress,1.6637611955018264e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3733,63,34,21925,0.5396825396825397,0.009107956067506027,query_1,['GO:0050896'],4.198141370004562
GO:BP,GO:0050896,response to stimulus,5.4683420039093716e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",6001,63,42,21925,0.6666666666666666,0.0069988335277453755,query_1,['GO:0008150'],4.841429554254578
GO:BP,GO:0140546,defense response to symbiont,1.227193104869541e-06,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",325,63,11,21925,0.1746031746031746,0.033846153846153845,query_1,['GO:0098542'],1.0320945718850474
GO:BP,GO:0042221,response to chemical,5.4394112128747356e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2940,63,27,21925,0.42857142857142855,0.009183673469387756,query_1,['GO:0050896'],2.2561920462038114
GO:BP,GO:0009605,response to external stimulus,1.5320956657647687e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",1684,63,20,21925,0.31746031746031744,0.011876484560570071,query_1,['GO:0050896'],1.5284806717537065
GO:BP,GO:0009611,response to wounding,1.8886867102982073e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]",243,63,9,21925,0.14285714285714285,0.037037037037037035,query_1,['GO:0006950'],0.6748342965105022
GO:BP,GO:0051707,response to other organism,5.4079650459933456e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1461,63,18,21925,0.2857142857142857,0.012320328542094456,query_1,"['GO:0043207', 'GO:0044419']",1.2191331783113097
GO:BP,GO:0043207,response to external biotic stimulus,5.4079650459933456e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1461,63,18,21925,0.2857142857142857,0.012320328542094456,query_1,"['GO:0009605', 'GO:0009607']",1.2191331783113097
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,6.373499496362567e-05,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1477,63,18,21925,0.2857142857142857,0.012186865267433988,query_1,['GO:0008150'],1.1987491554779977
GO:BP,GO:1901700,response to oxygen-containing compound,6.779533466751779e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1659,63,19,21925,0.30158730158730157,0.011452682338758288,query_1,['GO:0042221'],1.2572572004775706
GO:BP,GO:0098542,defense response to other organism,6.796125375084844e-05,True,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",1154,63,16,21925,0.25396825396825395,0.01386481802426343,query_1,"['GO:0006952', 'GO:0051707']",1.0584732997724475
GO:BP,GO:0009607,response to biotic stimulus,7.126601737937695e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1488,63,18,21925,0.2857142857142857,0.012096774193548387,query_1,['GO:0050896'],1.184890717308543
GO:BP,GO:0009056,catabolic process,0.0001329886264425299,True,"""A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]",1378,63,17,21925,0.2698412698412698,0.012336719883889695,query_1,['GO:0008152'],1.0459548173301427
GO:BP,GO:0043436,oxoacid metabolic process,0.0001542891981242847,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",1067,63,15,21925,0.23809523809523808,0.014058106841611996,query_1,['GO:0006082'],0.9075391614475301
GO:BP,GO:0006082,organic acid metabolic process,0.0001561539467650198,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",1068,63,15,21925,0.23809523809523808,0.014044943820224719,query_1,['GO:0044281'],0.9062969129938812
GO:BP,GO:0034440,lipid oxidation,0.00017791618606285777,True,"""The removal of one or more electrons from a lipid, with or without the concomitant removal of a proton or protons, by reaction with an electron-accepting substance, by addition of oxygen or by removal of hydrogen."" [GOC:BHF, GOC:mah]",49,63,5,21925,0.07936507936507936,0.10204081632653061,query_1,['GO:0030258'],0.2976019476064913
GO:BP,GO:0016042,lipid catabolic process,0.0002610527491738361,True,"""The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [GOC:go_curators]",240,63,8,21925,0.12698412698412698,0.03333333333333333,query_1,"['GO:0006629', 'GO:0009056']",0.45501863223219297
GO:BP,GO:0051716,cellular response to stimulus,0.0003837973252378066,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",2897,63,24,21925,0.38095238095238093,0.008284432171211598,query_1,"['GO:0009987', 'GO:0050896']",1.301294497629419
GO:BP,GO:0006631,fatty acid metabolic process,0.0007482345008646669,True,"""The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [ISBN:0198547684]",276,63,8,21925,0.12698412698412698,0.028985507246376812,query_1,"['GO:0006629', 'GO:0032787']",0.39694758990349155
GO:BP,GO:0044281,small molecule metabolic process,0.0010279832563281496,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1595,63,17,21925,0.2698412698412698,0.010658307210031349,query_1,['GO:0008152'],0.8062894810057211
GO:BP,GO:0006952,defense response,0.0014549132354405709,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1636,63,17,21925,0.2698412698412698,0.01039119804400978,query_1,['GO:0006950'],0.7655836411123339
GO:BP,GO:0030258,lipid modification,0.0017331101475494424,True,"""The covalent alteration of one or more fatty acids in a lipid, resulting in a change in the properties of the lipid."" [GOC:mah]",77,63,5,21925,0.07936507936507936,0.06493506493506493,query_1,['GO:0006629'],0.2191407805468092
GO:BP,GO:0006635,fatty acid beta-oxidation,0.001870946521495828,True,"""A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively)."" [GOC:mah, ISBN:0198506732]",35,63,4,21925,0.06349206349206349,0.11428571428571428,query_1,"['GO:0009062', 'GO:0019395']",0.17320245244758933
