Solution 1,Solution 2,Cluster 1,Cluster 2,Jaccard Similarity,Wang Similarity
0,1,1,2,0.3173076923076923,0.14728950507687413
0,1,3,0,0.21739130434782608,0.12357244371985983
0,1,2,1,0.21428571428571427,0.13286298747136718
0,1,0,3,0.13636363636363635,0.19754729959797174
0,2,1,0,0.6956521739130435,0.17486986744846936
0,2,0,2,0.23076923076923078,0.20532517176336634
0,2,2,1,0.19047619047619047,0.11223243703966607
0,2,3,3,0.07142857142857142,0.13062373204531932
0,3,1,3,0.5982142857142857,0.18870840232299962
0,3,3,2,0.16129032258064516,0.1077445226468398
0,3,0,0,0.15384615384615385,0.15940690976146074
0,3,2,1,0.05,0.09454193415294672
0,4,1,1,0.4722222222222222,0.19502587145122005
0,4,2,3,0.45454545454545453,0.13349370933159238
0,4,3,0,0.4166666666666667,0.171110174627478
0,4,0,2,0.07407407407407407,0.14246319586810102
0,5,1,2,0.5862068965517241,0.18587468809414615
0,5,3,1,0.16666666666666666,0.10576874229810018
0,5,0,0,0.16666666666666666,0.15231173633474548
0,5,2,3,0.04,0.11304794610377222
0,6,1,3,0.5855855855855856,0.1928898319514718
0,6,3,2,0.42105263157894735,0.1342957423013977
0,6,0,0,0.13043478260869565,0.1379032106374926
0,6,2,1,0.08823529411764706,0.09630282039663206
0,7,1,1,0.5603448275862069,0.1901442779556915
0,7,3,2,0.16666666666666666,0.10006678048149623
0,7,0,0,0.15,0.16486208466320051
0,7,2,3,0.0625,0.09850764041178302
0,8,1,1,0.4339622641509434,0.1946047106254362
0,8,2,2,0.4,0.13415003132702313
0,8,3,3,0.35714285714285715,0.1659159653429722
0,8,0,0,0.09090909090909091,0.14590824318963322
0,9,3,3,0.7,0.19160162695525265
0,9,1,2,0.6,0.1864608453955457
0,9,2,1,0.3181818181818182,0.09602927592716844
0,9,0,0,0.125,0.15468976382778682
0,10,1,0,0.6146788990825688,0.19101850635828233
0,10,3,3,0.5833333333333334,0.16863997720371693
0,10,2,1,0.4074074074074074,0.11903677736202799
0,10,0,2,0.17857142857142858,0.15107200603135934
0,11,1,1,0.46846846846846846,0.19361267857539516
0,11,2,2,0.45454545454545453,0.1094743781950715
0,11,3,3,0.3333333333333333,0.1623516340665715
0,11,0,0,0.1,0.15123669409241086
0,12,1,1,0.49523809523809526,0.1955148436211756
0,12,2,3,0.4230769230769231,0.1217775112540384
0,12,3,2,0.25,0.16819281693881827
0,12,0,0,0.11764705882352941,0.15214332514674334
0,13,1,0,0.4864864864864865,0.18981559725477404
0,13,3,1,0.3076923076923077,0.11084181861597361
0,13,2,3,0.2222222222222222,0.14704713437217143
0,13,0,2,0.10714285714285714,0.1487299091508806
0,14,3,2,0.5454545454545454,0.20467030513342202
0,14,1,3,0.5130434782608696,0.1960455447451445
0,14,2,0,0.21052631578947367,0.07285095459948364
0,14,0,1,0.061224489795918366,0.12862259599480488
0,15,1,0,0.5765765765765766,0.18912499443341468
0,15,3,3,0.45454545454545453,0.18892200207170204
0,15,2,1,0.4074074074074074,0.11903677736202799
0,15,0,2,0.15625,0.1470125693307011
0,16,1,1,0.48672566371681414,0.19124061554034247
0,16,3,0,0.45454545454545453,0.1477587489746338
0,16,2,3,0.11320754716981132,0.10287622335602095
0,16,0,2,0.0,0.14100117038892176
0,17,1,3,0.39622641509433965,0.14530226377982688
0,17,3,0,0.38461538461538464,0.15494506939323566
0,17,2,2,0.2903225806451613,0.13794032089394886
0,17,0,1,0.1320754716981132,0.19500131453036182
0,18,1,1,0.4056603773584906,0.1916036051139952
0,18,2,3,0.36,0.1553260700738881
0,18,3,0,0.25,0.11318526135098558
0,18,0,2,0.08620689655172414,0.14771884002199798
0,19,1,1,0.49523809523809526,0.1955148436211756
0,19,2,3,0.4782608695652174,0.13215640787179986
0,19,3,0,0.38461538461538464,0.14972140279904325
0,19,0,2,0.11764705882352941,0.15214332514674334
0,20,1,3,0.5132743362831859,0.19745761400221606
0,20,3,0,0.38461538461538464,0.12635170548167793
0,20,2,2,0.19047619047619047,0.12580977028333454
0,20,0,1,0.061224489795918366,0.12799614148044638
0,21,1,2,0.4519230769230769,0.19878700991889037
0,21,2,3,0.38461538461538464,0.13897017929609393
0,21,3,1,0.35714285714285715,0.12594800138113468
0,21,0,0,0.1111111111111111,0.14887912786416438
0,22,3,0,0.6,0.19148234201573275
0,22,1,3,0.43636363636363634,0.20036846783324305
0,22,2,2,0.20689655172413793,0.09749415823453696
0,22,0,1,0.09615384615384616,0.14914209831546818
0,23,1,0,0.4864864864864865,0.19200433986479495
0,23,3,1,0.3076923076923077,0.12598875328964118
0,23,2,3,0.2222222222222222,0.14704713437217143
0,23,0,2,0.08771929824561403,0.14249095331739178
0,24,1,3,0.37735849056603776,0.20130388572994487
0,24,2,1,0.2903225806451613,0.13794032089394886
0,24,3,0,0.21739130434782608,0.12357244371985983
0,24,0,2,0.08333333333333333,0.14336159943689525
0,25,1,0,0.746031746031746,0.17297023616362855
0,25,3,1,0.35714285714285715,0.12594800138113468
0,25,2,2,0.06666666666666667,0.19840214880289594
1,2,3,0,0.3564356435643564,0.20274479067016607
1,2,0,3,0.22580645161290322,0.13033030892725309
1,2,2,1,0.08695652173913043,0.1068377152552863
1,2,1,2,0.0,0.15582917593918572
1,3,3,3,0.375,0.22001522119039477
1,3,0,2,0.375,0.11288280688109054
1,3,2,0,0.2553191489361702,0.14331027665929197
1,3,1,1,0.05,0.12826914326306935
1,4,2,2,0.74,0.13841533240541246
1,4,3,1,0.6031746031746031,0.2326129571804681
1,4,0,0,0.3157894736842105,0.14064382095265168
1,4,1,3,0.23255813953488372,0.14401811283089286
1,5,3,2,0.4,0.21683350776644494
1,5,0,1,0.3870967741935484,0.11190488210218086
1,5,2,3,0.18604651162790697,0.13887161068582135
1,5,1,0,0.022222222222222223,0.13544460209359452
1,6,0,2,0.5909090909090909,0.12888783193459574
1,6,3,3,0.40476190476190477,0.22563287827526635
1,6,2,1,0.34782608695652173,0.12248531884736982
1,6,1,0,0.0,0.12582648848540479
1,7,3,1,0.3977272727272727,0.22220362629912943
1,7,0,2,0.2413793103448276,0.09194634589754022
1,7,2,3,0.18,0.11819709059770221
1,7,1,0,0.0,0.14785469685204444
1,8,2,0,0.7115384615384616,0.14039612902038806
1,8,3,1,0.6206896551724138,0.23338244724072826
1,8,0,3,0.42105263157894735,0.14790862476809458
1,8,1,2,0.3333333333333333,0.1527883246102165
1,9,3,2,0.4157303370786517,0.21792320673928395
1,9,2,0,0.32653061224489793,0.13784158240829397
1,9,0,3,0.25,0.13093955693836593
1,9,1,1,0.041666666666666664,0.0847705677554333
1,10,3,0,0.475,0.2247550918879681
1,10,2,2,0.37777777777777777,0.1353953907686604
1,10,0,3,0.35,0.12752285049097983
1,10,1,1,0.11320754716981132,0.1245559219576734
1,11,2,0,0.5555555555555556,0.14030944168938594
1,11,3,1,0.5,0.2293719628076387
1,11,0,3,0.2,0.13495172402959418
1,11,1,2,0.1276595744680851,0.1080633463271633
1,12,2,0,0.6862745098039216,0.14333915768750027
1,12,3,1,0.5714285714285714,0.23243147072172754
1,12,1,3,0.28888888888888886,0.13387356662959118
1,12,0,2,0.2777777777777778,0.15192644481539103
1,13,2,2,0.6851851851851852,0.14022035181084114
1,13,3,0,0.5070422535211268,0.22460962907640036
1,13,0,1,0.3157894736842105,0.09396037224155876
1,13,1,3,0.075,0.1651022227093919
1,14,2,1,0.5882352941176471,0.12791657370502046
1,14,3,3,0.43209876543209874,0.2313536089462625
1,14,0,2,0.25,0.1537549191732145
1,14,1,0,0.07317073170731707,0.05846592648361236
1,15,2,2,0.5,0.13704570560225385
1,15,3,0,0.4810126582278481,0.2228407634754434
1,15,0,3,0.3333333333333333,0.14781081433421317
1,15,1,1,0.11320754716981132,0.1245559219576734
1,16,2,3,0.7142857142857143,0.1337015784207223
1,16,3,1,0.5068493150684932,0.226676781671669
1,16,0,2,0.30434782608695654,0.13807548154991897
1,16,1,0,0.05,0.09853687245263296
1,17,2,3,0.7843137254901961,0.1345590412379414
1,17,3,1,0.76,0.24583368786649337
1,17,1,2,0.6944444444444444,0.17779118643965122
1,17,0,0,0.4444444444444444,0.14077644059818575
1,18,2,2,0.7358490566037735,0.14091151654150802
1,18,3,1,0.6545454545454545,0.23054080358181195
1,18,0,0,0.5555555555555556,0.12239592346755583
1,18,1,3,0.4473684210526316,0.18983183853421012
1,19,2,2,0.6862745098039216,0.14333915768750027
1,19,3,1,0.5714285714285714,0.23243147072172754
1,19,0,0,0.3684210526315789,0.13000778777801467
1,19,1,3,0.27906976744186046,0.14238866532826278
1,20,2,1,0.5882352941176471,0.12698158473989526
1,20,3,3,0.44871794871794873,0.23313040978155194
1,20,0,0,0.3,0.10063198109880084
1,20,1,2,0.1794871794871795,0.15256131685504515
1,21,2,0,0.6792452830188679,0.14059130681800008
1,21,3,2,0.631578947368421,0.23818880003836487
1,21,0,1,0.5,0.11705906140799394
1,21,1,3,0.5,0.16851936658969088
1,22,2,1,0.72,0.1422337610889
1,22,0,2,0.46153846153846156,0.10933292525007139
1,22,3,3,0.4492753623188406,0.2378553640273586
1,22,1,0,0.05,0.14241866173407583
1,23,2,2,0.7169811320754716,0.13686565371926515
1,23,3,0,0.5285714285714286,0.22797063434958026
1,23,0,1,0.3157894736842105,0.11227973333714389
1,23,1,3,0.075,0.1651022227093919
1,24,0,0,1.0,0.14573153163833008
